iter	Passed	Remaining
0	3	3359
1	6	3072
2	8	2846
3	11	2802
4	13	2717
5	16	2717
6	19	2711
7	21	2705
8	24	2713
9	28	2773
10	30	2763
11	33	2778
12	37	2813
13	39	2814
14	42	2813
15	45	2822
16	48	2820
17	51	2810
18	54	2812
19	57	2800
20	60	2803
21	62	2796
22	65	2796
23	68	2791
24	71	2796
25	74	2789
26	77	2783
27	80	2785
28	83	2783
29	85	2774
30	88	2779
31	91	2778
32	94	2778
33	98	2785
34	101	2785
35	103	2782
36	106	2781
37	109	2776
38	112	2774
39	115	2782
40	118	2776
41	121	2774
42	124	2765
43	127	2761
44	129	2757
45	132	2757
46	136	2760
47	138	2755
48	141	2750
49	144	2752
50	147	2749
51	150	2748
52	153	2745
53	156	2740
54	159	2736
55	162	2733
56	165	2739
57	168	2735
58	171	2735
59	174	2735
60	177	2737
61	180	2733
62	183	2727
63	186	2723
64	188	2715
65	191	2711
66	194	2713
67	197	2709
68	200	2711
69	203	2709
70	206	2704
71	209	2703
72	212	2698
73	215	2698
74	218	2697
75	221	2697
76	225	2697
77	227	2695
78	230	2692
79	234	2693
80	237	2692
81	240	2687
82	243	2686
83	246	2684
84	249	2681
85	252	2679
86	255	2679
87	258	2680
88	261	2679
89	264	2678
90	267	2676
91	271	2674
92	273	2671
93	277	2672
94	280	2672
95	283	2670
96	286	2668
97	289	2666
98	292	2665
99	296	2666
100	299	2665
101	302	2664
102	306	2667
103	309	2670
104	313	2668
105	316	2666
106	319	2666
107	323	2668
108	326	2666
109	329	2665
110	332	2665
111	335	2660
112	338	2659
113	342	2658
114	345	2657
115	348	2654
116	351	2650
117	354	2650
118	357	2649
119	360	2646
120	363	2643
121	366	2640
122	369	2637
123	372	2632
124	375	2629
125	378	2628
126	381	2625
127	385	2623
128	388	2621
129	391	2617
130	394	2614
131	397	2612
132	400	2610
133	403	2606
134	406	2603
135	409	2600
136	412	2597
137	415	2594
138	418	2593
139	421	2590
140	424	2586
141	427	2583
142	430	2581
143	433	2579
144	437	2577
145	440	2574
146	442	2570
147	445	2567
148	449	2565
149	452	2564
150	455	2562
151	458	2558
152	461	2556
153	465	2555
154	468	2552
155	471	2551
156	474	2547
157	477	2544
158	480	2541
159	483	2538
160	486	2537
161	489	2533
162	492	2529
163	495	2527
164	499	2525
165	501	2521
166	504	2517
167	507	2513
168	510	2511
169	513	2508
170	516	2505
171	520	2503
172	523	2500
173	526	2497
174	529	2495
175	532	2492
176	535	2490
177	538	2487
178	541	2485
179	545	2484
180	548	2481
181	551	2480
182	555	2477
183	558	2476
184	562	2476
185	565	2474
186	568	2472
187	571	2469
188	574	2466
189	578	2465
190	581	2461
191	584	2458
192	587	2455
193	590	2452
194	593	2449
195	596	2446
196	599	2442
197	602	2438
198	605	2435
199	608	2432
200	611	2428
201	614	2425
202	617	2422
203	620	2419
204	622	2415
205	625	2411
206	628	2408
207	631	2404
208	634	2400
209	637	2396
210	640	2393
211	643	2390
212	646	2387
213	649	2385
214	652	2382
215	655	2379
216	658	2375
217	661	2372
218	664	2368
219	666	2364
220	669	2360
221	672	2358
222	675	2354
223	678	2351
224	681	2347
225	684	2343
226	687	2340
227	690	2337
228	693	2334
229	696	2332
230	699	2329
231	702	2326
232	705	2323
233	708	2320
234	711	2316
235	714	2313
236	717	2310
237	720	2307
238	723	2304
239	726	2300
240	729	2296
241	731	2292
242	734	2288
243	737	2285
244	740	2282
245	743	2278
246	746	2275
247	749	2272
248	752	2271
249	755	2267
250	758	2263
251	761	2259
252	763	2255
253	766	2251
254	769	2249
255	773	2246
256	776	2243
257	778	2240
258	781	2237
259	785	2234
260	788	2231
261	790	2227
262	793	2224
263	796	2220
264	800	2219
265	803	2216
266	806	2213
267	809	2209
268	811	2206
269	814	2202
270	817	2200
271	820	2196
272	823	2193
273	826	2189
274	829	2186
275	832	2183
276	835	2180
277	838	2177
278	840	2173
279	843	2169
280	846	2166
281	849	2163
282	853	2161
283	856	2158
284	859	2155
285	862	2152
286	864	2148
287	867	2145
288	870	2142
289	873	2139
290	876	2136
291	879	2133
292	882	2129
293	885	2126
294	888	2123
295	891	2119
296	893	2115
297	897	2113
298	899	2109
299	902	2106
300	905	2103
301	908	2099
302	911	2096
303	914	2093
304	917	2090
305	920	2086
306	922	2083
307	925	2079
308	929	2078
309	932	2076
310	935	2072
311	938	2068
312	941	2065
313	943	2062
314	947	2059
315	950	2056
316	953	2053
317	955	2050
318	958	2047
319	961	2043
320	964	2040
321	967	2037
322	970	2033
323	973	2030
324	976	2027
325	978	2023
326	981	2020
327	984	2016
328	987	2013
329	989	2009
330	992	2006
331	995	2003
332	998	1999
333	1001	1996
334	1003	1992
335	1007	1990
336	1010	1987
337	1013	1984
338	1015	1980
339	1018	1977
340	1021	1973
341	1024	1970
342	1027	1967
343	1030	1964
344	1032	1961
345	1035	1957
346	1038	1954
347	1041	1951
348	1044	1948
349	1047	1944
350	1049	1941
351	1052	1937
352	1055	1934
353	1058	1931
